rating,title
1.0,Paul Fredrick Men's Pinpoint Straight Collar Button Cuff Dress Shirt White 16.5/34
1.0,ASICS Wind Cover Running Gloves
1.0,Betula by Birkenstock Boogie Taupe
1.0,Pleated Cotton Twill Hat Bands-Black
1.0,Sterling Silver Clear Cubic Zirconia Rhodium Plated Polish Finish 4mm Wide Band Ring Size 5
1.0,Minnetonka Fring Bootie (Infant)
1.0,"Sterling Silver Frog Ear Cuff Earring (one piece), 11/16 inch"
1.0,Gem Avenue 925 Sterling Silver Princess Cut Clear Cubic Zirconia Solitaire Promise Ring
1.0,Boot Shapers 300 (Pack of 3 Pairs) Boot Liners
1.0,"Rubie's Costume Co - The Wizard of Oz Shoe Covers, Adult"
